([-0.23073980592119048, -0.2155956879808354], [6.0, 5.924342006417164])
([-2.0936144765694724, -5.76452392990554], [6.0, 6.0])
([-1.6229823947058124, -0.8470485280119943], [3.6700445805128297, 6.0])
([-0.6035249433078529, -5.442541831844842], [6.0, 2.6548256751647243])
([-2.7444368974528888, -1.6651067063770122], [6.0, 5.314522279954895])
([-6.0, -3.7649695722964402], [6.0, 6.0])
([-6.0, -4.497371468259771], [2.508266966330218, 6.0])
([-6.0, -5.25972361609276], [2.0939526123066607, 5.864147081908404])
([-6.0, -6.0], [6.0, 6.0])
([-3.0066792146660424, -6.0], [6.0, 5.083740803002174])
([-6.0, -6.0], [6.0, 3.438205675278246])
([-6.0, -4.301059629903488], [5.12778026212641, 5.44608159863204])
([-2.328132913716494, -6.0], [6.0, 5.85228174077353])
([-5.093799789365525, -3.0025113112200836], [4.752685115250712, 4.809902725865617])
([-0.5562888769465347, -0.4875643151366137], [5.429162349393644, 3.3780085895753253])
([-5.495953628525549, -2.449441226148414], [6.0, 6.0])
([-1.9249163952164376, -4.0136540256458915], [4.536547675272502, 4.806348620089077])
([-6.0, -4.278266787960522], [6.0, 6.0])
([-3.077610020201143, -6.0], [6.0, 6.0])
([-4.066579509932448, -6.0], [4.6215642415722895, 3.745565593578214])
([-0.7577613171839197, -6.0], [6.0, 6.0])
([-1.343052154944038, -5.922974642053673], [6.0, 1.614019736321875])
([-6.0, -2.248128204111524], [3.3592081487019803, 2.3206915022624672])
([-6.0, -6.0], [6.0, 6.0])
([-5.199237865630033, -6.0], [2.607596711795044, 0.8992499770657902])
([-4.83409546908143, -6.0], [4.156572182693755, 6.0])
([-6.0, -2.177645221226407], [2.9860925019723785, 6.0])
([-3.2289285179113683, -2.9688138639638737], [6.0, 3.8182866006866414])
([-4.187392555925129, -5.198352593735839], [6.0, 6.0])
([-5.828688124359406, -6.0], [6.0, 2.0066992471145246])
